brand,series,ram_rom,retail,image_url
HONOR,Honor Magic 7 Pro,12/512,35900,
HONOR,Honor Pad 9 WIFI,8/256,10990,
HONOR,Honor X5b Plus,4/128,3299,
HONOR,Honor X6a,4/128,3999,
HONOR,Honor X6b,6/128,3999,
HONOR,Honor X7c,8/256 + Buds,5999,
HONOR,Honor X9c,12/256 + Buds,10990,
NOKIA-HMD,HMD ARC,4/64,2290,
NOKIA-HMD,HMD Aura 2,4/128,2490,
NOKIA-HMD,HMD Plus,4/128,3290,
NOKIA-HMD,NOKIA 108-4G,,1320,
NOKIA-HMD,NOKIA 3210-2024-4G,,1990,
OPPO,A3,8/128,5499,
OPPO,A3,8/256,6499,
OPPO,A3 Pro-5G,6/128,7499,
OPPO,A3 Pro-5G,8/256,8999,
OPPO,A3x,4/64,2999,
OPPO,A3x,4/128,3999,
OPPO,A3x,6/128,4999,
OPPO,A5 Pro-4G,8/128,5999,
OPPO,A5 Pro-4G,8/256,6999,
OPPO,A5 Pro-5G,8/256,8999,
OPPO,A5 Pro-5G,12/256,9999,
OPPO,Find X8,12/256,29990,
OPPO,OPPO Pad NEO,8/128,10990,
OPPO,Reno 13 Pro-5G,12/512,24999,
OPPO,Reno 13-5G,12/256,17999,
OPPO,Reno 13-5G,12/512,19999,
OPPO,Reno 13F,12/256,12999,
OPPO,Reno 13F,12/512,14999,
Realme,Buds T01,,999,
Realme,Buds T110,,999,
Realme,C53-8/256 ลดราคา,,5499,
Realme,C75,8/128,5999,
Realme,C75-8/256,,6999,
Realme,C75x,6/128,4999,
Realme,Note 60x,4/64,2999,
Realme,Realme 13+5G,12/256,11999,
Realme,Realme 13-5G,12/256,8999,
Realme,Realme 14-5G,12/256,11999,
Realme,Realme Pad-mini SIM,3/32,6300,
SAMSUNG,A06,4/64,3399,
SAMSUNG,A06,4/128,3999,
SAMSUNG,A06-5G,6/128,5499,
SAMSUNG,A16-5G,4/128,5999,
SAMSUNG,A16-5G,8/256,8499,
SAMSUNG,A25-5G,8/256,10999,
SAMSUNG,A26-5G,8/256,10999,
SAMSUNG,A36-128,8/128,11990,
SAMSUNG,A55-256,8/256,15999,
SAMSUNG,A56-5G,8/128,13999,
SAMSUNG,A56-5G,12/256,15999,
SAMSUNG,Fold 6-5G,12/256,63900,
SAMSUNG,S23 Ultra,8/256,41900,
SAMSUNG,S24 FE,8/128,22900,
SAMSUNG,S24 FE,8/256,25900,
SAMSUNG,S24 Plus,12/512,38900,
SAMSUNG,S24 Ultra,12/256,42900,
SAMSUNG,S24 Ultra,12/512,48900,
SAMSUNG,S25 Ultra ประกันจอ,12/512,48900,
SAMSUNG,S25 ประกันจอ,12/512,34900,
SAMSUNG,S25+ ประกันจอ,12/512,41900,
SAMSUNG TAB,Tab A9 + Sim,8/128,9990,
SAMSUNG TAB,Tab A9 + WIFI,8/128,7990,
SAMSUNG TAB,Tab A9 LTE,4/64,5990,
SAMSUNG TAB,Tab A9 LTE,8/128,6999,
SAMSUNG TAB,Tab S6 lite 2024,4/128,11990,
SAMSUNG TAB,Tab S9 FE Plus SIM,8/128,27900,
SAMSUNG TAB,Tab S9 FE Plus WIFI,8/128,23900,
SAMSUNG TAB,Tab-S10 + SIM,12/256,41900,
SAMSUNG TAB,Tab-S10 + WIFI,12/256,36900,
SAMSUNG TAB,Tab-S10 FE Plus-WIFI,12/256,26900,
SAMSUNG TAB,Tab-S10 FE- Plus-SIM,12/256,29900,
SAMSUNG TAB,Tab-S10 FE-SIM,8/128,20900,
SAMSUNG TAB,Tab-S10 FE-WIFI,8/128,17900,
SAMSUNG TAB,Tab-S9 FE-Sim,6/128,19990,
SAMSUNG TAB,Tab-S9 FE-WIFI,6/128,16990,
VIVO,IQOO Z9,12/256,11499,
VIVO,V30 Pro-5G โปรโมชัน,12/512,19999,
VIVO,V40 ปรับราคา,12/256,13999,
VIVO,V50,12/256,15999,
VIVO,V50,12/256,15999,
VIVO,X200,12/256,29999,
VIVO,X200 Pro,16/512,39999,
VIVO,Y03T,4/64,2999,
VIVO,Y03T,4/128,3499,
VIVO,Y04,4/64,3299,
VIVO,Y19s,4/64,4399,
VIVO,Y19s,4/128,4399,
VIVO,Y19s,6/128,4999,
VIVO,Y200-5G,12/512,11999,
VIVO,Y28-8/128,,5499,
VIVO,Y39-5G,8/256,7999,
